bollettino,riga,coltura,fase
Bollettino  07 del 24 marzo 2026 di Modena,3052,POMODORO,pre-trapianto
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1040,MELO,accrescimento frutti
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1140,OLIVO,allegagione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1167,PERO,ingrossamento frutti
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1267,VITE,chiusura grappolo
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1490,BARBABIETOLA,accrescimento fittone
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1524,MAIS,emissione pennacchio
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1533,SOIA,6° foglia trilobata-chiusura interfila
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1576,ANGURIA,accrescimento- maturazione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1602,MELONE,accrescimento-inizio maturazione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1611,ANGURIA,accrescimento-inizio maturazione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1656,MELONE,accrescimento-inizio maturazione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,1711,POMODORO_INDUSTRIA,termine trapianto – invaiatura primo palco
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2553,MELO,accrescimento frutti
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2633,OLIVO,allegagione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2641,PERO,ingrossamento frutti
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2713,VITE,chiusura grappolo
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2883,BARBABIETOLA,accrescimento fittone
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2891,MAIS,emissione pennacchio
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2933,ANGURIA,termine trapianti – allegagione 4° palco
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2946,MELONE,accrescimento-inizio maturazione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2966,ANGURIA,accrescimento-inizio maturazione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,2983,MELONE,accrescimento-inizio maturazione
Bollettino  19 del 18 giugno 2026  Reggio Emilia,3011,POMODORO_INDUSTRIA,termine trapianto – invaiatura primo palco fine trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1021,MELO,mazzetti affioranti-bottone rosa
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1090,OLIVO,ripresa vegetativa
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1126,PERO,mazzetti divaricati-fioritura
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1190,VITE,gemma cotonosa-germogliamento
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1272,BARBABIETOLA,cotiledoni-2 foglie vere
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1330,COLZA,bottoni fiorali uniti-inizio fioritura
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1369,ERBA_MEDICA,Medica in produzione: ripresa vegetativa; Medica nuovo impianto: pre-emergenza-emergenza
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1422,FRUMENTO,levata
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1645,GIRASOLE,pre semina
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1660,MAIS,pre-semina-semina
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1774,SORGO,Pre-semina
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1822,ANGURIA,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1836,MELONE,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1844,ANGURIA,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,1854,MELONE,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2558,MELO,mazzetti affioranti-bottone rosa
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2598,OLIVO,ripresa vegetativa
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2623,PERO,mazzetti divaricati- fioritura
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2660,VITE,gemma cotonosa-germogliamento
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2719,FRUMENTO,levata
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2740,BARBABIETOLA,cotiledoni-2 foglie vere
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2750,ERBA_MEDICA,impianti vecchi ripresa vegetativa -impianti nuovi pre-emergenza -emergenza
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2767,GIRASOLE,pre-semina
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2802,ANGURIA,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2806,MELONE,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2810,ANGURIA,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2824,MELONE,pre-trapianto-trapianto
Bollettino 07 del 26 marzo 2026  Reggio Emilia,2827,POMODORO,pre-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,978,MELO,bottone rosa- fioritura
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1036,OLIVO,ripresa vegetativa
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1061,PERO,fioritura-inizio caduta petali
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1137,VITE,gemma cotonosa - germogliamento
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1202,BARBABIETOLA,2-4 foglie vere
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1257,COLZA,inizio fioritura-fioritura
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1261,ERBA_MEDICA,Medica in produzione: ripresa vegetativa; Medica nuovo impianto: pre-emergenza-emergenza
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1318,FRUMENTO,levata
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1350,GIRASOLE,pre semina-semina
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1364,MAIS,presemina - pre-emergenza
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1477,SOIA,Pre-semina
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1504,SORGO,Pre-semina-semina
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1552,ANGURIA,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1556,MELONE,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1564,ANGURIA,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1574,MELONE,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,1594,POMODORO_INDUSTRIA,pre trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2287,MELO,bottone rosa- fioritura
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2324,OLIVO,ripresa vegetativa
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2349,PERO,fioritura-inizio caduta petali
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2391,VITE,gemma cotonosa - germogliamento
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2438,FRUMENTO,levata
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2448,BARBABIETOLA,2-4 foglie vere
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2457,ERBA_MEDICA,impianti vecchi ripresa vegetativa -impianti nuovi emergenza
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2474,GIRASOLE,pre-semina
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2484,MAIS,presemina - pre-emergenza
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2542,ANGURIA,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2556,MELONE,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2560,ANGURIA,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2564,MELONE,pre-trapianto-trapianto
Bollettino 08 del 02 Aprile 2026 Reggio Emilia,2567,POMODORO_INDUSTRIA,pre-trapianto
Bollettino 08 del 31 marzo 2026 Modena,985,ALBICOCCO,scamiciatura-ingrossamento frutti
Bollettino 08 del 31 marzo 2026 Modena,1037,CILIEGIO,fioritura-inizio caduta petali
Bollettino 08 del 31 marzo 2026 Modena,1057,KAKI,germogliamento
Bollettino 08 del 31 marzo 2026 Modena,1076,MELO,bottone rosa- fioritura
Bollettino 08 del 31 marzo 2026 Modena,1150,OLIVO,ripresa vegetativa
Bollettino 08 del 31 marzo 2026 Modena,1184,PERO,fioritura-inizio caduta petali
Bollettino 08 del 31 marzo 2026 Modena,1255,PESCO,caduta petali-allegagione
Bollettino 08 del 31 marzo 2026 Modena,1296,SUSINO_CINO_GIAPPONESE,caduta petali-allegagione
Bollettino 08 del 31 marzo 2026 Modena,1320,SUSINO_EUROPEO,fioritura
Bollettino 08 del 31 marzo 2026 Modena,1356,VITE,germogliamento- prime foglie distese
Bollettino 08 del 31 marzo 2026 Modena,1439,BARBABIETOLA,2-4 foglie vere
Bollettino 08 del 31 marzo 2026 Modena,1495,COLZA,inizio fioritura-fioritura
Bollettino 08 del 31 marzo 2026 Modena,1499,ERBA_MEDICA,Medica in produzione: ripresa vegetativa; Medica nuovo impianto: pre-emergenza-emergenza
Bollettino 08 del 31 marzo 2026 Modena,1556,FRUMENTO,levata
Bollettino 08 del 31 marzo 2026 Modena,1588,GIRASOLE,pre semina
Bollettino 08 del 31 marzo 2026 Modena,1602,MAIS,presemina - pre-emergenza
Bollettino 08 del 31 marzo 2026 Modena,1717,SOIA,Pre-semina
Bollettino 08 del 31 marzo 2026 Modena,1733,SORGO,Pre-semina-semina
Bollettino 08 del 31 marzo 2026 Modena,1781,ANGURIA,pre-trapianto-trapianto
Bollettino 08 del 31 marzo 2026 Modena,1802,MELONE,pre-trapianto-trapianto
Bollettino 08 del 31 marzo 2026 Modena,1811,POMODORO_INDUSTRIA,pre trapianto
Bollettino 08 del 31 marzo 2026 Modena,2507,ALBICOCCO,scamiciatura-ingrossamento frutti
Bollettino 08 del 31 marzo 2026 Modena,2541,CILIEGIO,fioritura-inizio caduta petali
Bollettino 08 del 31 marzo 2026 Modena,2550,KAKI,germogliamento
Bollettino 08 del 31 marzo 2026 Modena,2559,MELO,bottone rosa- fioritura
Bollettino 08 del 31 marzo 2026 Modena,2614,OLIVO,ripresa vegetativa
Bollettino 08 del 31 marzo 2026 Modena,2649,PERO,fioritura-inizio caduta petali
Bollettino 08 del 31 marzo 2026 Modena,2697,PESCO,caduta petali-allegagione
Bollettino 08 del 31 marzo 2026 Modena,2718,SUSINO_CINO_GIAPPONESE,caduta petali-allegagione
Bollettino 08 del 31 marzo 2026 Modena,2750,SUSINO_EUROPEO,fioritura
Bollettino 08 del 31 marzo 2026 Modena,2770,VITE,germogliamento- prime foglie distese
Bollettino 08 del 31 marzo 2026 Modena,2823,FRUMENTO,levata
Bollettino 08 del 31 marzo 2026 Modena,2844,BARBABIETOLA,2-4 foglie vere
Bollettino 08 del 31 marzo 2026 Modena,2853,ERBA_MEDICA,impianti vecchi ripresa vegetativa -impianti nuovi emergenza
Bollettino 08 del 31 marzo 2026 Modena,2860,GIRASOLE,pre-semina
Bollettino 08 del 31 marzo 2026 Modena,2880,MAIS,presemina - pre-emergenza
Bollettino 08 del 31 marzo 2026 Modena,2937,ANGURIA,pre-trapianto-trapianto
Bollettino 08 del 31 marzo 2026 Modena,2941,MELONE,pre-trapianto-trapianto
Bollettino 08 del 31 marzo 2026 Modena,2944,POMODORO_INDUSTRIA,pre-trapianto
Bollettino 1 del 3 febbraio 2026 di Modena,828,ALBICOCCO,da gemma ferma a inizio bottone rosso
Bollettino 1 del 3 febbraio 2026 di Modena,851,MELO,gemma ferma
Bollettino 1 del 3 febbraio 2026 di Modena,858,PERO,gemma ferma
Bollettino 1 del 3 febbraio 2026 di Modena,874,PESCO,da gemma ferma a inizio rottura gemma a legno
Bollettino 1 del 3 febbraio 2026 di Modena,886,SUSINO_CINO_GIAPPONESE,da gemma ferma a rigonfiamento gemme
Bollettino 1 del 3 febbraio 2026 di Modena,932,BARBABIETOLA,pre-semina
Bollettino 1 del 3 febbraio 2026 di Modena,978,COLZA,sviluppo fogliare – rosetta
Bollettino 1 del 3 febbraio 2026 di Modena,1012,ERBA_MEDICA,Medica in produzione: riposo vegetativo; Medica nuovo impianto: pre-semina
Bollettino 1 del 3 febbraio 2026 di Modena,1043,FRUMENTO,Accestimento
Bollettino 1 del 3 febbraio 2026 di Modena,1600,ALBICOCCO,da gemma ferma a bottone rosso
Bollettino 1 del 3 febbraio 2026 di Modena,1632,PESCO,gemma ferma-inizio rottura gemma a legno
Bollettino 1 del 3 febbraio 2026 di Modena,1641,SUSINO_CINO_GIAPPONESE,da gemma ferma a rigonfiamento gemme
Bollettino 1 del 3 febbraio 2026 di Modena,1677,BARBABIETOLA,Pre-Semina
Bollettino 1 del 3 febbraio 2026 di Modena,1691,ERBA_MEDICA,Medica in produzione: riposo vegetativo; Medica nuovo impianto: pre-semina
Bollettino 1 del 3 febbraio 2026 di Modena,1701,FRUMENTO,Accestimento
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,812,ACTINIDIA,gemma ferma
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,821,ALBICOCCO,da gemma ferma a rigonfiamento gemme
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,844,PESCO,da gemma ferma a inizio rottura gemma a legno
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,866,SUSINO_CINO_GIAPPONESE,da gemma ferma a rigonfiamento gemme
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,901,BARBABIETOLA,pre-semina
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,946,COLZA,sviluppo fogliare – rosetta
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,985,ERBA_MEDICA,Medica in produzione: riposo vegetativo; Medica nuovo impianto: pre-semina
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1009,ASPARAGO,Pre-ricaccio
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1043,CAROTA,da pre-semina a sviluppo vegetativo
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1066,CIPOLLA,Autunnale: prime foglie vere – Primaverile: pre-semina
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1145,PISELLO,da pre-semina a 3-5 foglie
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1756,ACTINIDIA,gemma ferma
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1765,ALBICOCCO,da gemma ferma a rigonfiamento gemme
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1788,PESCO,da gemma ferma a inizio rottura gemma a legno
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1807,SUSINO_CINO_GIAPPONESE,da gemma ferma a rigonfiamento gemme
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1832,BARBABIETOLA,Pre-Semina
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1856,ERBA_MEDICA,Medica in produzione: riposo vegetativo; Medica nuovo impianto: pre-semina
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1879,CAROTA,Pre-semina
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1885,CIPOLLA,Autunnale: prime foglie vere – Primaverile: pre-semina
Bollettino 1 del 4 febbraio 2026 di Bologna e Ferrara,1914,PISELLO,da pre-semina a 3-5 foglie
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",814,ACTINIDIA,gemma ferma
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",823,ALBICOCCO,da gemma ferma a rigonfiamento gemme
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",846,PESCO,da gemma ferma a inizio rottura gemma a legno
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",868,SUSINO_CINO_GIAPPONESE,da gemma ferma a rigonfiamento gemme
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",914,BARBABIETOLA,pre-semina
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",948,COLZA,da sviluppo fogliare a rosetta
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",986,ERBA_MEDICA,Medica in produzione: riposo vegetativo; Medica nuovo impianto: pre-semina
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1024,CIPOLLA,Autunnale: prime foglie vere – Primaverile: pre-semina
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1093,PISELLO,da pre-semina a 3-5 foglie
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1708,ACTINIDIA,gemma ferma
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1717,ALBICOCCO,da gemma ferma a rigonfiamento gemme
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1751,PESCO,da gemma ferma a inizio rottura gemma a legno
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1760,SUSINO_CINO_GIAPPONESE,da gemma ferma a rigonfiamento gemme
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1796,BARBABIETOLA,Pre-Semina
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1810,ERBA_MEDICA,Medica in produzione: riposo vegetativo; Medica nuovo impianto: pre-semina
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1843,CIPOLLA,Autunnale: prime foglie vere – Primaverile: pre-semina
"Bollettino 1 del 4 febbraio 2026 di Forlì-Cesena, Ravenna, Rimini",1861,PISELLO,da pre-semina a 3-5 foglie
Bollettino 1 del 6 febbraio 2026 di Piacenza,789,ALBICOCCO,da gemma ferma a inizio rigonfiamento gemme
Bollettino 1 del 6 febbraio 2026 di Piacenza,801,MELO,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,810,PERO,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,820,PESCO,da gemma ferma a inizio rigonfiamento gemme
Bollettino 1 del 6 febbraio 2026 di Piacenza,845,SUSINO_EUROPEO,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,850,VITE,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,910,BARBABIETOLA,pre-semina
Bollettino 1 del 6 febbraio 2026 di Piacenza,956,COLZA,sviluppo fogliare – rosetta
Bollettino 1 del 6 febbraio 2026 di Piacenza,999,ERBA_MEDICA,Medica in produzione: riposo vegetativo; Medica nuovo impianto: pre-semina
Bollettino 1 del 6 febbraio 2026 di Piacenza,1023,CIPOLLA,Autunnale: prime foglie vere – Primaverile: pre-semina
Bollettino 1 del 6 febbraio 2026 di Piacenza,1091,AGLIO,da post emergenza a 2-5 foglie
Bollettino 1 del 6 febbraio 2026 di Piacenza,1105,PISELLO,da pre-semina a 3-5 foglie
Bollettino 1 del 6 febbraio 2026 di Piacenza,1711,ALBICOCCO,da gemma ferma a inizio rigonfiamento gemme
Bollettino 1 del 6 febbraio 2026 di Piacenza,1723,MELO,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,1743,PERO,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,1753,PESCO,da gemma ferma a inizio rigonfiamento gemme
Bollettino 1 del 6 febbraio 2026 di Piacenza,1765,SUSINO_EUROPEO,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,1770,VITE,gemma ferma
Bollettino 1 del 6 febbraio 2026 di Piacenza,1829,ERBA_MEDICA,medica in produzione: riposo vegetativo; medica nuovo impianto: pre-semina
Bollettino 10 del 14 aprile 2026 Modena,953,ALBICOCCO,accrescimento frutti
Bollettino 10 del 14 aprile 2026 Modena,1007,CILIEGIO,caduta petali-ingrossamento frutti
Bollettino 10 del 14 aprile 2026 Modena,1049,KAKI,presenza abbozzi fiorali
Bollettino 10 del 14 aprile 2026 Modena,1053,MELO,fine fioritura-allegagione
Bollettino 10 del 14 aprile 2026 Modena,1149,OLIVO,accrescimento germogli apicali e laterali
Bollettino 10 del 14 aprile 2026 Modena,1184,PERO,allegagione-ingrossamento frutti
Bollettino 10 del 14 aprile 2026 Modena,1284,PESCO,fine allegagione-scamiciatura
Bollettino 10 del 14 aprile 2026 Modena,1332,SUSINO,caduta petali -ingrossamento frutti
Bollettino 10 del 14 aprile 2026 Modena,1362,VITE,prime foglie distese-grappoli separati
Bollettino 10 del 14 aprile 2026 Modena,1455,BARBABIETOLA,6-8 foglie vere
Bollettino 10 del 14 aprile 2026 Modena,1513,COLZA,fioritura
Bollettino 10 del 14 aprile 2026 Modena,1517,ERBA_MEDICA,Medica in produzione: ripresa vegetativa; Medica nuovo impianto: emergenza-prime foglie trilobate
Bollettino 10 del 14 aprile 2026 Modena,1567,FRUMENTO,levata-inizio botticella
Bollettino 10 del 14 aprile 2026 Modena,1619,GIRASOLE,semina-pre emergenza
Bollettino 10 del 14 aprile 2026 Modena,1669,MAIS,pre-emergenza -emergenza
Bollettino 10 del 14 aprile 2026 Modena,1826,SOIA,Pre-semina
Bollettino 10 del 14 aprile 2026 Modena,1850,SORGO,semina-emergenza
Bollettino 10 del 14 aprile 2026 Modena,1929,ANGURIA,pre-trapianto-trapianto
Bollettino 10 del 14 aprile 2026 Modena,1939,MELONE,pre-trapianto-trapianto
Bollettino 10 del 14 aprile 2026 Modena,1948,POMODORO_INDUSTRIA,pre trapianto
Bollettino 10 del 14 aprile 2026 Modena,2655,ALBICOCCO,accrescimento frutti
Bollettino 10 del 14 aprile 2026 Modena,2682,CILIEGIO,caduta petali-ingrossamento frutti
Bollettino 10 del 14 aprile 2026 Modena,2706,KAKI,presenza abbozzi fiorali
Bollettino 10 del 14 aprile 2026 Modena,2710,MELO,fine fioritura-allegagione
Bollettino 10 del 14 aprile 2026 Modena,2770,OLIVO,accrescimento germogli
Bollettino 10 del 14 aprile 2026 Modena,2805,PERO,allegagione-ingrossamento frutti
Bollettino 10 del 14 aprile 2026 Modena,2863,PESCO,allegagione-scamiciatura
Bollettino 10 del 14 aprile 2026 Modena,2890,SUSINO,caduta petali -ingrossamento frutti
Bollettino 10 del 14 aprile 2026 Modena,2921,VITE,prime foglie distese-grappoli separati
Bollettino 10 del 14 aprile 2026 Modena,2965,FRUMENTO,levata-inizio botticella
Bollettino 10 del 14 aprile 2026 Modena,2981,BARBABIETOLA,6-8 foglie vere
Bollettino 10 del 14 aprile 2026 Modena,3001,ERBA_MEDICA,impianti vecchi ripresa vegetativa -impianti nuovi emergenza
Bollettino 10 del 14 aprile 2026 Modena,3004,GIRASOLE,semina-pre emergenza
Bollettino 10 del 14 aprile 2026 Modena,3018,MAIS,pre-emergenza -emergenza
Bollettino 10 del 14 aprile 2026 Modena,3085,ANGURIA,pre-trapianto-trapianto
Bollettino 10 del 14 aprile 2026 Modena,3089,MELONE,pre-trapianto-trapianto
Bollettino 10 del 14 aprile 2026 Modena,3092,POMODORO_INDUSTRIA,pre-trapianto-trapianto
Bollettino 10 del 15 aprile 2026 di Bologna e Ferrara,951,ACTINIDIA,verde: germogliamento; giallo: comparsa bottoni fiorali
Bollettino 10 del 15 aprile 2026 di Bologna e Ferrara,987,ALBICOCCO,accrescimento frutti
Bollettino 10 del 15 aprile 2026 di Bologna e Ferrara,1041,CILIEGIO,da caduta petali ad accrescimento frutti
Bollettino 10 del 15 aprile 2026 di Bologna e Ferrara,1062,KAKI,da germogliamento a comparsa abbozzi fiorali
Bollettino 10 del 15 aprile 2026 di Bologna e Ferrara,1066,MELO,da caduta petali ad allegagione
Bollettino 10 del 15 aprile 2026 di Bologna e Ferrara,1155,NOCE,da germogliamento a emissione degli amenti
